isHigh,juzi
n,找一下 刘佳慧 的校园卡
y,怎么回事捏
n,在淘宝评论区发现了自己喜欢的老师
y,因为牙痛买了咸的，吃起来像橡皮泥
y,放我出去看《新蝙蝠侠》
y,关于张雨悦发我照片让我封心锁爱，断情绝爱，没有对象
y,   欢迎来到晚上逃不掉系列    
y,请大家认识一位美女
n,朋友们胶片洗好了
n,人生的秘诀在于放松
n,   害    
n,Lost in his dreams of the future that he seeks
y,呜呜呜，第一次在无年级限制比赛拿到佳辩。
y,小孩子太可爱了!
y,咱就是说刀工真重要
y,前置摄像头下的高糊猫咪
y,家人们，我已经找好地缝钻进去了
n,本来想上网页版的学习通
n,高中同学发在朋友圈的……我怎么感觉说lzu更合适一些呢
n,植树节从云种树开始o(*^▽^*)o
y,什么叫快乐啊喂（才不会说昨天打开一脸懵逼忘记自己玩到哪了
n,“有的时候很难说清楚，固执与决然之间的区别，不是吗？”
n,   2022年了啊，我从2018年就开始推这首歌它终于火了
y,格局大点
n,有时候，照片的意义大概不仅限于好看，而是被定格的时间感。
y,作业……
y,这瓜，沙瓤的，味道还行，比hmm的稍微甜一些
y,今天的悦跑让我感受到了西北的风速（风筝都放起来了）
y,一打开热搜人麻了，国家线第一，新传第二
y,兴许就该这样叭
n,啊……这
y,【列表万能】我正在做一个矫正学校（类似豫章书院那样的）的选题，想找采访对象，有哪位列表认识相关人士吗？家长教官孩子都可
y,实现短袖自由^ ^
n,老是有人惦记着我的空瓶子废纸箱旧报纸破书本
y,【给岁月以文明，给时光以生命】
y,鼠鼠对不起
y,ddl是我最大的动力
n,最怕的事情…
y,祝自己19岁生日快乐，今天收到了超多的礼物，好开心！
y,晚安o(≧v≦)o
y,   我长大了    
n,印度人独有的喜剧感（？）
n,我cqr在此谢谢我那在我进了宿舍坐了十分钟的过程中在床上躺平连个屁都没放然后在我以为宿舍没有活着的生物时突然探头对我大喊you back成功把我吓出八百分贝的狼嚎的室友cjh同志
y,来我壶里玩!（超大声
n,一些让我觉得快乐然后重拾干劲的地方
,     
